x y
0.000 5.275
0.050 5.967
0.100 6.373
0.150 5.992
0.200 6.817
0.250 5.784
0.300 4.412
0.350 4.057
0.400 7.500
0.450 5.199
0.500 6.887
0.550 5.204
0.600 8.910
0.650 7.691
0.700 7.107
0.750 7.091
0.800 7.349
0.850 8.726
0.900 7.702
0.950 7.523
1.000 9.305
1.050 7.594
1.100 6.830
1.150 9.234
1.200 8.061
1.250 9.553
1.300 8.642
1.350 9.542
1.400 9.882
1.450 8.663
1.500 6.790
1.550 9.823
1.600 8.096
1.650 10.228
1.700 10.329
1.750 8.995
1.800 10.065
1.850 9.417
1.900 9.864
1.950 9.694
2.000 9.842
2.050 10.790
2.100 8.921
2.150 9.374
2.200 11.425
2.250 11.833
2.300 11.341
2.350 9.919
2.400 10.494
2.450 11.674
