SUMLEV,REGION,DIVISION,STATE,COUNTY,STNAME,CTYNAME,CENSUS2010POP,ESTIMATESBASE2010,POPESTIMATE2010,POPESTIMATE2011,POPESTIMATE2012,POPESTIMATE2013,POPESTIMATE2014
40,3,6,1,0,Alabama,Alabama,4779736,4780127,4785822,4801695,4817484,4833996,4849377
50,3,6,1,1,Alabama,Autauga County,54571,54571,54684,55275,55192,55136,55395
50,3,6,1,3,Alabama,Baldwin County,182265,182265,183216,186694,190561,195443,200111
50,3,6,1,5,Alabama,Barbour County,27457,27457,27336,27225,27169,26978,26887
50,3,6,1,7,Alabama,Bibb County,22915,22919,22879,22740,22634,22504,22506
50,3,6,1,9,Alabama,Blount County,57322,57322,57344,57694,57748,57720,57719
50,3,6,1,11,Alabama,Bullock County,10914,10915,10886,10623,10589,10605,10764
50,3,6,1,13,Alabama,Butler County,20947,20946,20945,20676,20409,20289,20296
50,3,6,1,15,Alabama,Calhoun County,118572,118586,118443,117760,117264,116547,115916
50,3,6,1,17,Alabama,Chambers County,34215,34170,34111,34004,34087,34175,34076
50,3,6,1,19,Alabama,Cherokee County,25989,25986,25968,26073,26017,26115,26037
50,3,6,1,21,Alabama,Chilton County,43643,43631,43682,43749,43709,43836,43931
50,3,6,1,23,Alabama,Choctaw County,13859,13858,13849,13604,13559,13397,13323
50,3,6,1,25,Alabama,Clarke County,25833,25840,25782,25592,25168,25166,24945
50,3,6,1,27,Alabama,Clay County,13932,13932,13886,13677,13465,13506,13552
50,3,6,1,29,Alabama,Cleburne County,14972,14972,14969,14967,14918,15017,15080
50,3,6,1,31,Alabama,Coffee County,49948,49948,50179,50465,51217,50861,50909
50,3,6,1,33,Alabama,Colbert County,54428,54428,54505,54433,54473,54499,54543
50,3,6,1,35,Alabama,Conecuh County,13228,13228,13219,13133,13005,12898,12670
50,3,6,1,37,Alabama,Coosa County,11539,11758,11757,11344,11181,11065,10886
50,3,6,1,39,Alabama,Covington County,37765,37765,37784,38049,37809,37850,37914
50,3,6,1,41,Alabama,Crenshaw County,13906,13906,13866,13914,13972,13960,13977
50,3,6,1,43,Alabama,Cullman County,80406,80410,80454,80455,80361,80783,81289
50,3,6,1,45,Alabama,Dale County,50251,50251,50340,50085,50310,49845,49484
50,3,6,1,47,Alabama,Dallas County,43820,43820,43836,43225,42839,42102,41711
50,3,6,1,49,Alabama,DeKalb County,71109,71115,71118,71361,70930,70894,71065
50,3,6,1,51,Alabama,Elmore County,79303,79296,79444,79983,80392,80808,80977
50,3,6,1,53,Alabama,Escambia County,38319,38319,38312,38222,38048,37893,37733
50,3,6,1,55,Alabama,Etowah County,104430,104427,104501,104310,104324,103962,103531
50,3,6,1,57,Alabama,Fayette County,17241,17241,17247,17082,16982,16909,16874
50,3,6,1,59,Alabama,Franklin County,31704,31709,31755,31757,31660,31542,31601
50,3,6,1,61,Alabama,Geneva County,26790,26790,26793,26829,27002,26742,26712
50,3,6,1,63,Alabama,Greene County,9045,9045,8992,8902,8827,8718,8553
50,3,6,1,65,Alabama,Hale County,15760,15760,15727,15355,15390,15311,15184
50,3,6,1,67,Alabama,Henry County,17302,17302,17287,17403,17248,17224,17190
50,3,6,1,69,Alabama,Houston County,101547,101547,101787,102423,103368,103626,104193
50,3,6,1,71,Alabama,Jackson County,53227,53226,53159,53244,53048,52944,52665
50,3,6,1,73,Alabama,Jefferson County,658466,658350,658302,657927,657953,659197,660793
50,3,6,1,75,Alabama,Lamar County,14564,14564,14499,14295,14255,14203,14086
50,3,6,1,77,Alabama,Lauderdale County,92709,92709,92726,92609,92694,92774,93096
50,3,6,1,79,Alabama,Lawrence County,34339,34339,34306,34044,33776,33571,33477
50,3,6,1,81,Alabama,Lee County,140247,140296,140799,144146,148040,151708,154255
50,3,6,1,83,Alabama,Limestone County,82782,82782,83179,85580,87363,88924,90787
50,3,6,1,85,Alabama,Lowndes County,11299,11299,11285,11131,10864,10730,10580
50,3,6,1,87,Alabama,Macon County,21452,21450,21542,21264,20470,19822,19425
50,3,6,1,89,Alabama,Madison County,334811,334811,336239,339668,342868,347073,350299
50,3,6,1,91,Alabama,Marengo County,21027,21029,20951,20711,20443,20228,20110
50,3,6,1,93,Alabama,Marion County,30776,30777,30810,30731,30516,30305,30271
50,3,6,1,95,Alabama,Marshall County,93019,93019,93170,93927,94303,94569,94636
50,3,6,1,97,Alabama,Mobile County,412992,413143,413432,413154,413955,414560,415123
50,3,6,1,99,Alabama,Monroe County,23068,23070,23003,22797,22609,22188,21947
50,3,6,1,101,Alabama,Montgomery County,229363,229363,229795,231571,229426,227271,226189
50,3,6,1,103,Alabama,Morgan County,119490,119486,119557,119870,120057,119628,119607
50,3,6,1,105,Alabama,Perry County,10591,10581,10536,10502,10172,9978,9826
50,3,6,1,107,Alabama,Pickens County,19746,19746,19706,19348,19344,19383,20365
50,3,6,1,109,Alabama,Pike County,32899,32899,32959,32922,33128,33682,33389
50,3,6,1,111,Alabama,Randolph County,22913,22914,22928,22834,22657,22663,22539
50,3,6,1,113,Alabama,Russell County,52947,52949,53279,54845,57736,59430,59608
50,3,6,1,115,Alabama,St. Clair County,83593,83593,83800,84305,85165,86244,86697
50,3,6,1,117,Alabama,Shelby County,195085,195218,196036,197988,200963,204196,206655
50,3,6,1,119,Alabama,Sumter County,13763,13763,13748,13494,13411,13345,13166
50,3,6,1,121,Alabama,Talladega County,82291,82291,82067,81781,81858,81339,81322
50,3,6,1,123,Alabama,Tallapoosa County,41616,41618,41490,41443,41156,41221,41165
50,3,6,1,125,Alabama,Tuscaloosa County,194656,194653,195056,196697,198643,200744,202212
50,3,6,1,127,Alabama,Walker County,67023,67023,66991,66607,66125,65859,65471
50,3,6,1,129,Alabama,Washington County,17581,17583,17601,17319,17088,16842,16834
50,3,6,1,131,Alabama,Wilcox County,11670,11665,11579,11510,11386,11262,11098
50,3,6,1,133,Alabama,Winston County,24484,24483,24409,24348,24185,24187,24150
40,4,9,2,0,Alaska,Alaska,710231,710249,713856,722572,731081,737259,736732
50,4,9,2,13,Alaska,Aleutians East Borough,3141,3141,3178,3267,3320,3351,3360
50,4,9,2,16,Alaska,Aleutians West Census Area,5561,5561,5551,5587,5671,5692,5750
50,4,9,2,20,Alaska,Anchorage Municipality,291826,291826,293337,296282,298633,301629,301010
50,4,9,2,50,Alaska,Bethel Census Area,17013,17013,17068,17453,17687,17806,17868
50,4,9,2,60,Alaska,Bristol Bay Borough,997,997,1002,1038,984,955,957
50,4,9,2,68,Alaska,Denali Borough,1826,1826,1832,1869,1906,1933,1921
50,4,9,2,70,Alaska,Dillingham Census Area,4847,4847,4869,4969,4968,4988,4988
50,4,9,2,90,Alaska,Fairbanks North Star Borough,97581,97581,98174,98029,100227,100807,99357
50,4,9,2,100,Alaska,Haines Borough,2508,2508,2504,2572,2572,2569,2566
50,4,9,2,105,Alaska,Hoonah-Angoon Census Area,2150,2149,2149,2124,2140,2134,2082
50,4,9,2,110,Alaska,Juneau City and Borough,31275,31275,31386,32170,32411,32626,32406
50,4,9,2,122,Alaska,Kenai Peninsula Borough,55400,55400,55566,56369,56958,57067,57477
50,4,9,2,130,Alaska,Ketchikan Gateway Borough,13477,13477,13536,13654,13709,13695,13787
