475620799089352704	https://twitter.com/Emanuel_0512/status/475620799089352704	2014-06-08 12:50:09+00:00	Working!âœˆï¸è #Boeing #B737 #B757 #UnitedAirlines #ExContinental #CopaAirlines #BioMuseo_Ÿ˜ç_Ÿ’™_Ÿ’__Ÿ’›âù_ï¸è#PTYAirportâ€_ http://t.co/UERUsX0rbG	de	0	0	Emanuel_0512
475808774288982016	https://twitter.com/ingriddanler/status/475808774288982016	2014-06-09 01:17:06+00:00	Appreciate all this time to tweet.  Not really. #unitedairlines	en	0	0	ingriddanler
475808152999698432	https://twitter.com/PChinky22/status/475808152999698432	2014-06-09 01:14:38+00:00	Wow! I might have met the most unprofessional airline employee at lvia.   #unitedairlines	en	0	0	PChinky22
475808021717999616	https://twitter.com/RoadTips/status/475808021717999616	2014-06-09 01:14:07+00:00	I'd be on my way to Paris right now if it weren't for #unitedairlines	en	0	0	RoadTips
475807207565848577	https://twitter.com/your_neighbor/status/475807207565848577	2014-06-09 01:10:53+00:00	"#unitedairlines 7:30 ready to board. ""Oh the pilot says we need more fuel"". @8:05 still fueling and now says maint.coming to check engine."	en	0	0	your_neighbor
475796716940046338	https://twitter.com/jodm/status/475796716940046338	2014-06-09 00:29:11+00:00	"Hey #unitedairlines plane is late 90 min, and no staff are ready to board customers. #trbl http://t.co/PKSerIpfhL"	en	0	0	jodm
475794561428492288	https://twitter.com/lindsaymalbec/status/475794561428492288	2014-06-09 00:20:37+00:00	Not getting on a plane till 8:05. This is absolutely ridiculous. Never flying #UnitedAirlines again	en	0	2	lindsaymalbec
475794207370928129	https://twitter.com/kirtcarstens/status/475794207370928129	2014-06-09 00:19:13+00:00	"Hello, can you say ""delay"", United Airlines? #nosense #denver #unitedairlines"	en	0	1	kirtcarstens
475793046571720704	https://twitter.com/MelissaGraver/status/475793046571720704	2014-06-09 00:14:36+00:00	#unitedairlines totally dropped the ball. My flight somehow doesn't have pilots. #pissedoff #unitedairlinessucks #theresnoplacelikehome	en	0	0	MelissaGraver
475791711470252032	https://twitter.com/ShiftYourGaze/status/475791711470252032	2014-06-09 00:09:18+00:00	RIP Frequent Flyer status. One trip and I already miss you so much. Didn't realize how awful economy class has become. #unitedairlines	en	0	0	ShiftYourGaze
475788008697102336	https://twitter.com/aintnoswayze/status/475788008697102336	2014-06-08 23:54:35+00:00	Delayed again: 7:30 this time.  Ppl are starting to boo when they give updates. #unitedairlines	en	0	0	aintnoswayze
475784946339287040	https://twitter.com/SinSex_London/status/475784946339287040	2014-06-08 23:42:25+00:00	I'm praying I get this job! #ExpressJet #UnitedAirlines #Delta #AmericanAirlines _Ÿ™è_Ÿ™è_Ÿ™è_Ÿ™è_Ÿ™Œ_Ÿ™Œ_Ÿ™Œ_Ÿ™Œ	en	0	0	SinSex_London
475780531641016320	https://twitter.com/ratnamaravind/status/475780531641016320	2014-06-08 23:24:52+00:00	#unitedairlines got mistreated at JFK by supv TerryKelly after ATC cancel on 5714 left me with no place to sleep &amp; loss of $$. Very upset!	en	0	0	ratnamaravind
475774838960058368	https://twitter.com/UnitedFlyerHD/status/475774838960058368	2014-06-08 23:02:15+00:00	Next flight: #unitedairlines 1212 on B737-724 N24715 #avgeek #airlinegeek http://t.co/QInblz67gO	en	0	2	UnitedFlyerHD
475774404774100992	https://twitter.com/aintnoswayze/status/475774404774100992	2014-06-08 23:00:32+00:00	Running out of battery life bc of the fucktarded iOS update and my charger is in my carry on that they made me check.  #unitedairlines	en	0	0	aintnoswayze
475774295655059456	https://twitter.com/BabySideburns/status/475774295655059456	2014-06-08 23:00:06+00:00	#unitedairlines How do we land in 17 minutes if we haven't taken off? Did you pull away from the gate to keep your on time record?	en	0	3	BabySideburns
475773976497901568	https://twitter.com/kirtcarstens/status/475773976497901568	2014-06-08 22:58:50+00:00	And the journey in the land of over-booking continues.....#unitedairlines #denver #byebyeluggage	en	0	0	kirtcarstens
475771497098018816	https://twitter.com/NeriumResults4U/status/475771497098018816	2014-06-08 22:48:58+00:00	#unitedairlines SUPER disappointed in you today!  You separated our family who has a minor in the boarding process. #flydelta	en	0	0	NeriumResults4U
475769023498444802	https://twitter.com/EricaAdkins13/status/475769023498444802	2014-06-08 22:39:09+00:00	@united much thanks to the wonderful agent who helped get me on my flight to Denver! Hopefully my bags make it too! #united #unitedairlines	en	0	0	EricaAdkins13
475766735631839232	https://twitter.com/F_Mattioli/status/475766735631839232	2014-06-08 22:30:03+00:00	United Airlines is Horrible! Avoid at all costs.  They are always late. #unitedairlines	en	0	0	F_Mattioli
475766505834307585	https://twitter.com/BadBusinessUK/status/475766505834307585	2014-06-08 22:29:08+00:00	RT @SEvangeline: Cancelled #UnitedAirlines flight due to lack of crew.  No flight till tomorrow and that's oversold.  Thoroughly unimpresseâ€_	en	1	0	BadBusinessUK
475765677132091392	https://twitter.com/SEvangeline/status/475765677132091392	2014-06-08 22:25:51+00:00	Cancelled #UnitedAirlines flight due to lack of crew.  No flight till tomorrow and that's oversold.  Thoroughly unimpressed. #BadBusiness	en	1	0	SEvangeline
475762682411614210	https://twitter.com/yortkrause/status/475762682411614210	2014-06-08 22:13:57+00:00	Why does deadheading #unitedairlines staff take president over paying 1st class passengers?  Grrr!	en	0	0	yortkrause
475762550257500160	https://twitter.com/jenmcunningham/status/475762550257500160	2014-06-08 22:13:25+00:00	@JennLStewart #unitedairlines	en	0	0	jenmcunningham
475762244354334720	https://twitter.com/yortkrause/status/475762244354334720	2014-06-08 22:12:12+00:00	"Traveling from Chicago on #unitedairlines first class. One pilot and three Stewarts, deadheading were allowed to board before the passengers"	en	0	0	yortkrause
475761454973345792	https://twitter.com/aintnoswayze/status/475761454973345792	2014-06-08 22:09:04+00:00	Wish I could cry like the kid right in front of me.  Seems like it might be cathartic. #unitedairlines #delay	en	0	0	aintnoswayze
475759635077799937	https://twitter.com/aintnoswayze/status/475759635077799937	2014-06-08 22:01:50+00:00	"Text from #unitedairlines says it'll be 45 more mins, pilot says 25.  At least it's hot as hell in here &amp; everyone is in a good mood."	en	0	0	aintnoswayze
475758593929924608	https://twitter.com/aintnoswayze/status/475758593929924608	2014-06-08 21:57:42+00:00	They're letting people off the plane to stretch their legs.  Can't imagine that'll add any time til our takeoff. #unitedairlines	en	0	0	aintnoswayze
475758516188086273	https://twitter.com/ToriSkiGirl/status/475758516188086273	2014-06-08 21:57:24+00:00	United airlines has the worst customer service. Cancelled flight from Newark to BTV 15 min before boarding.  #unitedsucks  #unitedairlines	en	1	1	ToriSkiGirl
475751289255911424	https://twitter.com/MikeLaFollette1/status/475751289255911424	2014-06-08 21:28:41+00:00	I've been awake for almost 48 hours. Starting to get the shakes. Really wish #unitedairlines would get their shit together and take me home.	en	0	0	MikeLaFollette1
475750391234043904	https://twitter.com/duck6934/status/475750391234043904	2014-06-08 21:25:06+00:00	Planning my life for the next week #erincondren #origamiowl #unitedairlines http://t.co/XBQXDCO4on	en	0	0	duck6934
475743955137880064	https://twitter.com/olyhandro25/status/475743955137880064	2014-06-08 20:59:32+00:00	#aeromexico 737 #unitedairlines 737 and #usairways A321 parked at Puerto Vallarta International @â€_ http://t.co/Luf5sTG9Zl	en	0	0	olyhandro25
475743110677278721	https://twitter.com/laboiteny/status/475743110677278721	2014-06-08 20:56:11+00:00	Inside the airplane bathroom. Good times! #airlplane #unitedairlines @united #lucainisrael @ somewhereâ€_ http://t.co/AuZhfdrWkV	en	0	0	laboiteny
475738564828086272	https://twitter.com/DoctorZ/status/475738564828086272	2014-06-08 20:38:07+00:00	"No captain, my captain! #unitedairlines forgets to schedule captain #iad -&gt; #lax"	en	0	0	DoctorZ
475738008088375297	https://twitter.com/_pierregiovanni/status/475738008088375297	2014-06-08 20:35:54+00:00	@united you're losing. #unitedairlines	en	0	0	_pierregiovanni
475737876466921473	https://twitter.com/_pierregiovanni/status/475737876466921473	2014-06-08 20:35:23+00:00	#unitedairlines &amp; the guy next to me is pissed cause he was trying to make it to pride to see #DanityKane ; get it together.	en	0	0	_pierregiovanni
475737454087917568	https://twitter.com/_pierregiovanni/status/475737454087917568	2014-06-08 20:33:42+00:00	#unitedairlines with every passing minute we're delayed another 30 minutes! Never. The. Fuck. Again.	en	0	0	_pierregiovanni
475737096087273472	https://twitter.com/_pierregiovanni/status/475737096087273472	2014-06-08 20:32:17+00:00	just checked the #unitedairlines hashtag and sure enough nobody likes flying with you fuckers. how about #southwest just buy you guys out?	en	0	0	_pierregiovanni
475736705086279680	https://twitter.com/kirtcarstens/status/475736705086279680	2014-06-08 20:30:43+00:00	"Overbooked flights suck, when weather cancels, and trying get home to young kids, tell me I can't fly til next day #unitedairlines #Denver"	en	0	0	kirtcarstens
