Salon_BusinessID,Permit_Number,SalonName,Salon St No,SalonStName,Salon St Ext,Salon Neighborhood,Salon State,Salon Zip,Salon Closed,Services Nails,Services Tanning,Services Hair,Services Spa,Services Wax,Services Other,Number Tables,Number Baths,Salon_First_Visit,Salon_Last_Visit,Permit Start,Permit End,Application Date,Application Type,Previous Permit,Permit_Use and Occupancy,Permit_Flammable Storage,Permit_Salon BOC License,Permit_Cosmetologist Licenses,Permit_Ventilation,Permit_Work with BPHC,Permit Fee,Date Passed Inspection
730,2011N-00057,Wonder Nails,13,Poplar,ST,Roslindale,MA,2131,0,1,0,0,0,0,,3,3,01/20/2012 12:00:00 AM,,01/20/2012 12:00:00 AM,01/19/2013 12:00:00 AM,09/20/2011 12:00:00 AM,Renewal,2012N-00057,1,1,1,1,1,0,140,02/12/2013 12:00:00 AM
730,2013N-00015,Wonder Nails,13,Poplar,ST,Roslindale,MA,2131,0,1,0,0,0,0,,3,3,01/20/2012 12:00:00 AM,,01/20/2013 12:00:00 AM,01/20/2014 12:00:00 AM,01/31/2013 12:00:00 AM,Renewal,2011N-00057,0,1,1,1,0,0,140,02/12/2013 12:00:00 AM
730,2014N-00014,Wonder Nails,13,Poplar,ST,Roslindale,MA,2131,0,1,0,0,0,0,,3,3,01/20/2012 12:00:00 AM,,01/21/2014 12:00:00 AM,01/21/2015 12:00:00 AM,01/22/2014 12:00:00 AM,Renewal,2013n-00015,1,1,1,1,1,0,140,02/12/2013 12:00:00 AM
731,2011N-00040,Tina's Nail Design,288,Cummins,HW,Roslindale,MA,2131,0,1,0,0,0,1,,7,4,11/18/2011 12:00:00 AM,,11/18/2011 12:00:00 AM,11/17/2012 12:00:00 AM,09/20/2011 12:00:00 AM,New,2011N-00040,1,1,0,1,1,0,240,11/18/2011 12:00:00 AM
731,2012N-00125,Tina's Nail Design,288,Cummins,HW,Roslindale,MA,2131,0,1,0,0,0,1,,7,4,11/18/2011 12:00:00 AM,,12/08/2012 12:00:00 AM,12/08/2013 12:00:00 AM,11/01/2012 12:00:00 AM,Renewal,2011N-00040,1,1,1,1,1,0,240,11/18/2011 12:00:00 AM
731,2013N-00175,Tina's Nail Design,288,Cummins,HW,Roslindale,MA,2131,0,1,0,0,0,1,,7,4,11/18/2011 12:00:00 AM,,11/07/2013 12:00:00 AM,11/07/2014 12:00:00 AM,12/12/2013 12:00:00 AM,,,1,1,1,1,1,0,240,11/18/2011 12:00:00 AM
732,2011N-00003,Beauty Nails And Skin Care,1408,Centre,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,,,09/01/2011 12:00:00 AM,08/31/2012 12:00:00 AM,07/13/2011 12:00:00 AM,New,,1,0,1,1,1,0,160,08/18/2011 12:00:00 AM
732,2012N-00093,Beauty Nails And Skin Care,1408,Centre,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,,,09/20/2012 12:00:00 AM,09/20/2013 12:00:00 AM,08/28/2012 12:00:00 AM,New,2012N-00093,1,1,1,1,1,0,160,08/18/2011 12:00:00 AM
732,2013N-00111,Beauty Nails And Skin Care,1408,Centre,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,,,09/02/2013 12:00:00 AM,09/02/2014 12:00:00 AM,08/27/2013 12:00:00 AM,Renewal,2012N-00093,1,1,1,1,0,0,160,08/18/2011 12:00:00 AM
732,2014N-00134,Beauty Nails And Skin Care,1408,Centre,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,,,09/03/2014 12:00:00 AM,09/03/2015 12:00:00 AM,09/24/2014 12:00:00 AM,Renewal,2013N-00111,0,0,1,1,0,0,160,
733,2012N-00029,Pearl Nail Salon,4399,Washington,ST,Roslindale,MA,2131,0,1,0,0,0,1,,6,4,06/08/2012 12:00:00 AM,06/27/2013 12:00:00 AM,06/08/2012 12:00:00 AM,06/08/2013 12:00:00 AM,03/05/2012 12:00:00 AM,New,2012N-00029,1,1,1,1,1,0,200,06/27/2013 12:00:00 AM
733,2013N-00079,Pearl Nail Salon,4399,Washington,ST,Roslindale,MA,2131,0,1,0,0,0,1,,5,4,06/08/2012 12:00:00 AM,06/27/2013 12:00:00 AM,06/27/2013 12:00:00 AM,06/27/2014 12:00:00 AM,06/27/2013 12:00:00 AM,Renewal,2012N-00029,1,1,1,1,1,0,,06/27/2013 12:00:00 AM
733,2014N-00093,Pearl Nail Salon,4399,Washington,ST,Roslindale,MA,2131,0,1,0,0,0,1,,5,5,06/08/2012 12:00:00 AM,06/27/2013 12:00:00 AM,07/28/2014 12:00:00 AM,07/28/2015 12:00:00 AM,07/08/2014 12:00:00 AM,Renewal,2013N-00079,0,0,1,1,0,0,220,
734,2011N-00053,Roxy Nails,45,Corinth,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,12/03/2012 12:00:00 AM,,11/07/2011 12:00:00 AM,11/06/2012 12:00:00 AM,07/07/2011 12:00:00 AM,New,2011N-00053,1,1,1,1,1,0,160,12/03/2012 12:00:00 AM
734,2013N-00008,Roxy Nails,45,Corinth,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,12/03/2012 12:00:00 AM,,12/03/2012 12:00:00 AM,12/03/2013 12:00:00 AM,01/04/2013 12:00:00 AM,New,2013N-00008,0,0,1,1,0,0,160,12/03/2012 12:00:00 AM
734,2013N-00178,Roxy Nails,45,Corinth,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,12/03/2012 12:00:00 AM,,12/18/2013 12:00:00 AM,12/18/2014 12:00:00 AM,01/07/2014 12:00:00 AM,Renewal,2011N-00008,1,1,1,1,1,0,160,12/03/2012 12:00:00 AM
734,2014N-00181,Roxy Nails,45,Corinth,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,12/03/2012 12:00:00 AM,,12/19/2014 12:00:00 AM,12/19/2015 12:00:00 AM,12/17/2014 12:00:00 AM,Renewal,2013N-00178,0,0,1,1,0,0,160,
735,2011N-00022,Lovely Nails,4274,Washington,ST,Roslindale,MA,2131,0,1,0,0,0,1,,3,3,10/11/2011 12:00:00 AM,10/31/2012 12:00:00 AM,10/13/2011 12:00:00 AM,10/12/2012 12:00:00 AM,09/08/2011 12:00:00 AM,New,2011N-00022,1,1,1,1,0,0,140,10/31/2012 12:00:00 AM
735,2013N-00140,Lovely Nails,4274,Washington,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,10/11/2011 12:00:00 AM,10/31/2012 12:00:00 AM,11/01/2013 12:00:00 AM,11/01/2014 12:00:00 AM,09/30/2013 12:00:00 AM,New,2011N-00022,1,1,1,1,1,0,160,10/31/2012 12:00:00 AM
735,2012N-00108,Lovely Nails,4274,Washington,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,10/11/2011 12:00:00 AM,10/31/2012 12:00:00 AM,10/13/2012 12:00:00 AM,10/13/2013 12:00:00 AM,10/10/2012 12:00:00 AM,Renewal,2011N-00022,0,1,1,1,0,0,120,10/31/2012 12:00:00 AM
735,2014N-00153,Lovely Nails,4274,Washington,ST,Roslindale,MA,2131,0,1,0,0,0,1,,4,3,10/11/2011 12:00:00 AM,10/31/2012 12:00:00 AM,11/02/2014 12:00:00 AM,11/02/2015 12:00:00 AM,10/31/2014 12:00:00 AM,Renewal,2013N-00140,0,0,1,1,0,0,160,
736,2012N-00007,Beauty Style Spa,628,American Legion,HW,Roslindale,MA,2131,0,1,0,0,0,1,,5,5,,,01/12/2012 12:00:00 AM,01/12/2013 12:00:00 AM,01/12/2012 12:00:00 AM,New,2012N-00007,1,1,1,1,1,0,220,12/31/2013 12:00:00 AM
736,2013N-00114,Beauty Style Spa,628,American Legion,HW,Roslindale,MA,2131,0,1,0,0,0,1,,8,9,,,01/13/2013 12:00:00 AM,01/13/2014 12:00:00 AM,09/05/2013 12:00:00 AM,Renewal,2012N-00007,1,1,1,1,1,0,360,12/31/2013 12:00:00 AM
736,2014N-00049,Beauty Style Spa,628,American Legion,HW,Roslindale,MA,2131,0,1,0,0,0,1,,8,10,,,01/14/2014 12:00:00 AM,01/14/2015 12:00:00 AM,02/24/2014 12:00:00 AM,Renewal,2013N-00114,1,1,1,1,1,0,380,12/31/2013 12:00:00 AM
737,2012N-00001,Polish N Refine,1757,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,5,5,01/31/2012 12:00:00 AM,02/21/2013 12:00:00 AM,01/31/2012 12:00:00 AM,01/30/2013 12:00:00 AM,10/15/2011 12:00:00 AM,New,2012N-00001,1,1,1,1,1,0,,02/21/2013 12:00:00 AM
737,2013N-00021,Polish N Refine,1757,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,5,5,01/31/2012 12:00:00 AM,02/21/2013 12:00:00 AM,02/21/2013 12:00:00 AM,02/21/2014 12:00:00 AM,01/26/2013 12:00:00 AM,Renewal,2012N-00001,1,1,1,1,1,0,220,02/21/2013 12:00:00 AM
737,2014N-00026,Polish N Refine,1757,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,5,5,01/31/2012 12:00:00 AM,02/21/2013 12:00:00 AM,02/22/2014 12:00:00 AM,02/22/2015 12:00:00 AM,02/10/2014 12:00:00 AM,Renewal,,1,1,1,1,1,0,220,02/21/2013 12:00:00 AM
738,2011N-00012,"Saigon Nails, Inc.",1877,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,5,5,08/26/2011 12:00:00 AM,,08/26/2011 12:00:00 AM,08/25/2012 12:00:00 AM,08/02/2011 12:00:00 AM,New,2011N-00012,1,1,1,1,1,1,220,09/09/2013 12:00:00 AM
738,2012N-00082,"Saigon Nails, Inc.",1877,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,5,5,08/26/2011 12:00:00 AM,,09/11/2012 12:00:00 AM,09/11/2013 12:00:00 AM,08/01/2012 12:00:00 AM,Renewal,2011N-00012,1,1,1,1,0,0,220,09/09/2013 12:00:00 AM
738,2013N-00104,"Saigon Nails, Inc.",1877,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,5,5,08/26/2011 12:00:00 AM,,09/12/2013 12:00:00 AM,09/12/2014 12:00:00 AM,09/09/2013 12:00:00 AM,Renewal,2012N-00082,1,1,1,1,1,0,220,09/09/2013 12:00:00 AM
738,2014N-00123,"Saigon Nails, Inc.",1877,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,5,5,08/26/2011 12:00:00 AM,,09/13/2014 12:00:00 AM,09/13/2015 12:00:00 AM,09/13/2014 12:00:00 AM,Renewal,2013N-00104,0,0,1,1,0,0,,
739,2011N-00056,Salon V,2038,Centre,ST,West Roxbury,MA,2132,0,1,0,1,0,1,,3,3,01/04/2012 12:00:00 AM,,01/04/2012 12:00:00 AM,01/03/2013 12:00:00 AM,11/22/2011 12:00:00 AM,New,2011N-00056,1,1,1,1,1,0,140,01/15/2013 12:00:00 AM
739,2013N-00002,Salon V,2038,Centre,ST,West Roxbury,MA,2132,0,1,0,1,0,1,,3,3,01/04/2012 12:00:00 AM,,01/04/2013 12:00:00 AM,01/04/2014 12:00:00 AM,01/01/2013 12:00:00 AM,Renewal,,1,1,1,1,1,0,180,01/15/2013 12:00:00 AM
739,2014N-00009,Salon V,2038,Centre,ST,West Roxbury,MA,2132,0,1,0,1,0,1,,3,3,01/04/2012 12:00:00 AM,,01/05/2014 12:00:00 AM,01/05/2015 12:00:00 AM,01/01/2014 12:00:00 AM,Renewal,2013N-00002,1,1,1,1,1,0,140,01/15/2013 12:00:00 AM
740,2011N-00021,Hollywood Nails,2105,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,6,3,09/20/2011 12:00:00 AM,09/21/2012 12:00:00 AM,09/09/2011 12:00:00 AM,09/08/2012 12:00:00 AM,09/09/2011 12:00:00 AM,New,2011N-00021,1,1,1,1,1,0,200,09/09/2013 12:00:00 AM
740,2012N-00090,Hollywood Nails,2105,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,6,3,09/20/2011 12:00:00 AM,09/21/2012 12:00:00 AM,09/21/2012 12:00:00 AM,09/21/2013 12:00:00 AM,08/24/2012 12:00:00 AM,Renewal,2011N-00021,1,1,1,1,1,0,200,09/09/2013 12:00:00 AM
740,2013N-00102,Hollywood Nails,2105,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,6,3,09/20/2011 12:00:00 AM,09/21/2012 12:00:00 AM,09/08/2013 12:00:00 AM,09/08/2014 12:00:00 AM,08/22/2013 12:00:00 AM,New,2011N-00021,1,1,1,1,1,0,200,09/09/2013 12:00:00 AM
740,2014N-00116,Hollywood Nails,2105,Centre,ST,West Roxbury,MA,2132,0,1,0,0,0,0,,6,4,09/20/2011 12:00:00 AM,09/21/2012 12:00:00 AM,09/09/2014 12:00:00 AM,09/09/2015 12:00:00 AM,08/13/2014 12:00:00 AM,Renewal,2013N-00102,0,0,1,1,0,0,220,
741,2011N-00066,Nails Maxx Co.,1780,Centre,ST,West Roxbury,MA,2132,0,1,0,0,1,1,,13,10,01/19/2012 12:00:00 AM,,01/19/2012 12:00:00 AM,01/18/2013 12:00:00 AM,12/27/2011 12:00:00 AM,New,2011N-00066,1,1,1,1,1,0,480,01/20/2012 12:00:00 AM
741,2013N-00011,Nails Maxx Co.,1780,Centre,ST,West Roxbury,MA,2132,0,1,0,0,1,1,,14,10,01/19/2012 12:00:00 AM,,01/19/2013 12:00:00 AM,01/19/2014 12:00:00 AM,01/10/2013 12:00:00 AM,Renewal,,1,1,1,1,1,0,500,01/20/2012 12:00:00 AM
741,2014N-00028,Nails Maxx Co.,1780,Centre,ST,West Roxbury,MA,2132,0,1,0,0,1,1,,14,10,01/19/2012 12:00:00 AM,,01/20/2014 12:00:00 AM,01/20/2015 12:00:00 AM,01/28/2014 12:00:00 AM,Renewal,2013N-00011,1,1,1,1,1,0,500,01/20/2012 12:00:00 AM
742,2011N-00020,Lissa Hair & Nail Design,225,Grove,ST,West Roxbury,MA,2132,0,1,0,1,0,1,,2,2,09/30/2011 12:00:00 AM,,09/30/2011 12:00:00 AM,09/29/2012 12:00:00 AM,08/19/2011 12:00:00 AM,New,2011N-00020,1,1,1,1,1,0,100,10/16/2012 12:00:00 AM
742,2012N-00106,Lissa Hair & Nail Design,225,Grove,ST,West Roxbury,MA,2132,0,1,0,1,0,1,,2,2,09/30/2011 12:00:00 AM,,10/05/2012 12:00:00 AM,10/05/2013 12:00:00 AM,10/05/2012 12:00:00 AM,Renewal,2011N-00020,0,0,1,1,1,0,100,10/16/2012 12:00:00 AM
742,2013N-00166,Lissa Hair & Nail Design,225,Grove,ST,West Roxbury,MA,2132,0,1,0,1,0,1,,1,1,09/30/2011 12:00:00 AM,,10/06/2013 12:00:00 AM,10/06/2014 12:00:00 AM,10/05/2013 12:00:00 AM,Renewal,,1,1,1,1,1,0,100,10/16/2012 12:00:00 AM
742,2014N-00132,Lissa Hair & Nail Design,225,Grove,ST,West Roxbury,MA,2132,0,1,0,1,0,1,,1,1,09/30/2011 12:00:00 AM,,10/07/2014 12:00:00 AM,10/07/2015 12:00:00 AM,09/23/2014 12:00:00 AM,Renewal,2013N-00166,0,0,1,0,0,0,100,
743,2011N-00031,Lovely Nails Spa,5256,Washington,ST,West Roxbury,MA,2132,0,1,0,0,0,1,,4,3,09/20/2011 12:00:00 AM,11/15/2012 12:00:00 AM,11/16/2011 12:00:00 AM,11/15/2012 12:00:00 AM,09/20/2011 12:00:00 AM,New,2011N-00031,1,1,1,1,1,0,160,11/15/2012 12:00:00 AM
743,2012N-00131,Lovely Nails Spa,5256,Washington,ST,West Roxbury,MA,2132,0,1,0,0,0,1,,4,3,09/20/2011 12:00:00 AM,11/15/2012 12:00:00 AM,11/15/2012 12:00:00 AM,11/15/2013 12:00:00 AM,11/05/2012 12:00:00 AM,Renewal,2011N-00031,1,1,1,1,1,0,160,11/15/2012 12:00:00 AM
743,2013N-00159,Lovely Nails Spa,5256,Washington,ST,West Roxbury,MA,2132,0,1,0,0,0,1,,4,3,09/20/2011 12:00:00 AM,11/15/2012 12:00:00 AM,11/16/2013 12:00:00 AM,11/16/2014 12:00:00 AM,10/22/2013 12:00:00 AM,Renewal,2011N-00031,1,1,1,1,1,0,160,11/15/2012 12:00:00 AM
743,2014N-00157,Lovely Nails Spa,5256,Washington,ST,West Roxbury,MA,2132,0,1,0,0,0,1,,5,4,09/20/2011 12:00:00 AM,11/15/2012 12:00:00 AM,11/17/2014 12:00:00 AM,11/17/2015 12:00:00 AM,11/10/2014 12:00:00 AM,Renewal,2013N-00159,0,0,1,1,0,0,200,
744,2011N-00058,Julie Nail Salon,360,Centre,ST,Jamaica Plain,MA,2130,0,1,0,0,0,1,,3,4,01/17/2012 12:00:00 AM,01/29/2013 12:00:00 AM,01/17/2012 12:00:00 AM,01/16/2013 12:00:00 AM,11/21/2011 12:00:00 AM,New,2011N-00058,1,1,1,1,1,0,160,01/29/2013 12:00:00 AM
744,2013N-00005,Julie Nail Salon,360,Centre,ST,Jamaica Plain,MA,2130,0,1,0,0,0,1,,3,4,01/17/2012 12:00:00 AM,01/29/2013 12:00:00 AM,01/29/2013 12:00:00 AM,01/29/2014 12:00:00 AM,01/06/2013 12:00:00 AM,Renewal,2012N-00058,1,1,1,1,1,0,160,01/29/2013 12:00:00 AM
744,2014N-00020,Julie Nail Salon,360,Centre,ST,Jamaica Plain,MA,2130,0,1,0,0,0,1,,3,4,01/17/2012 12:00:00 AM,01/29/2013 12:00:00 AM,01/29/2014 12:00:00 AM,01/29/2015 12:00:00 AM,01/13/2014 12:00:00 AM,Renewal,2013N-00005,1,1,1,1,1,0,160,01/29/2013 12:00:00 AM
745,2011N-00037,Nails 2000,148,South,ST,Jamaica Plain,MA,2130,0,1,0,0,0,1,,5,3,11/15/2011 12:00:00 AM,11/13/2012 12:00:00 AM,11/15/2011 12:00:00 AM,11/14/2012 12:00:00 AM,09/25/2011 12:00:00 AM,New,2011N-00037,1,1,1,1,1,0,180,11/13/2012 12:00:00 AM
